alpha,n_iterations,n_reps,labeling,value
0.25,100,10,[ 34 12 22 33 15 24 16 3 31 25 28 6 13 18 37 30 10 39 1 4 20 26 11 9 19 35 8 38 32 27 29 17 7 2 14 36 23 5 21 ],7
0.25,100,10,[ 24 21 2 27 20 6 26 4 28 10 13 17 29 22 25 5 11 3 14 15 35 36 31 19 16 37 23 32 7 8 1 34 12 18 38 9 33 30 39 ],7
0.25,100,10,[ 9 3 5 1 28 36 11 22 17 4 26 24 35 8 32 21 33 6 15 25 18 38 12 30 34 19 29 14 13 2 20 23 31 16 37 27 10 7 39 ],7
0.25,100,10,[ 19 16 15 26 33 28 8 32 27 10 24 13 21 31 6 37 3 9 34 38 14 7 12 39 36 29 5 23 22 11 25 18 2 17 35 4 30 20 1 ],8
0.25,100,10,[ 24 20 23 14 36 5 27 15 39 11 3 26 33 17 25 2 8 6 35 37 22 1 38 34 29 12 16 31 10 9 21 19 30 13 32 4 28 7 18 ],8
0.25,100,10,[ 31 35 9 3 12 6 16 7 23 2 22 17 27 38 36 19 8 11 28 32 25 34 26 29 15 24 30 5 14 39 4 21 13 20 33 18 1 10 37 ],7
0.25,100,10,[ 26 1 9 20 30 8 32 37 12 34 3 28 2 11 13 5 10 19 6 38 36 7 25 18 22 23 35 24 31 15 14 33 27 39 21 29 16 4 17 ],9
0.25,100,10,[ 13 11 39 28 10 26 9 6 32 14 36 1 25 3 23 27 29 37 5 7 2 17 35 4 12 18 8 19 33 34 22 20 21 38 15 31 16 30 24 ],8
0.3,10,10,[ 34 32 2 20 39 16 3 26 17 7 33 8 27 13 14 31 25 6 28 35 15 37 10 36 29 18 19 1 11 21 30 38 4 5 23 24 9 12 22 ],6
0.3,10,10,[ 14 30 2 39 38 34 22 9 24 31 3 6 15 28 35 4 21 23 11 37 36 26 18 16 12 13 29 20 5 1 32 33 7 10 27 19 8 17 25 ],6
0.3,10,10,[ 14 30 2 39 38 34 22 9 24 31 3 6 15 28 35 4 21 23 11 37 36 26 18 16 12 13 29 20 5 1 32 33 7 10 27 19 8 17 25 ],6
0.3,10,10,[ 14 30 2 39 38 34 22 9 24 31 3 6 15 28 35 4 21 23 11 37 36 26 18 16 12 13 29 20 5 1 32 33 7 10 27 19 8 17 25 ],6
0.3,10,10,[ 14 30 2 39 38 34 22 9 24 31 3 6 15 28 35 4 21 23 11 37 36 26 18 16 12 13 29 20 5 1 32 33 7 10 27 19 8 17 25 ],6
0.3,10,10,[ 14 30 2 39 38 34 22 9 24 31 3 6 15 28 35 4 21 23 11 37 36 26 18 16 12 13 29 20 5 1 32 33 7 10 27 19 8 17 25 ],6
0.3,10,10,[ 15 19 3 18 12 26 20 39 2 22 16 9 4 35 23 38 25 21 13 11 8 33 24 37 31 32 6 17 1 30 5 36 14 7 27 28 34 10 29 ],6
0.3,10,10,[ 15 19 3 18 12 26 20 39 2 22 16 9 4 35 23 38 25 21 13 11 8 33 24 37 31 32 6 17 1 30 5 36 14 7 27 28 34 10 29 ],6
0.3,10,10,[ 15 19 3 18 12 26 20 39 2 22 16 9 4 35 23 38 25 21 13 11 8 33 24 37 31 32 6 17 1 30 5 36 14 7 27 28 34 10 29 ],6
0.3,10,10,[ 15 19 3 18 12 26 20 39 2 22 16 9 4 35 23 38 25 21 13 11 8 33 24 37 31 32 6 17 1 30 5 36 14 7 27 28 34 10 29 ],6
0.3,50,10,[ 31 29 25 14 16 7 20 33 10 3 36 30 27 6 19 37 35 18 38 28 9 22 11 32 17 34 15 5 21 39 26 8 23 1 12 13 2 24 4 ],7
0.3,50,10,[ 17 13 14 18 22 9 11 15 27 1 28 26 12 16 39 3 32 2 31 23 25 37 30 4 6 33 34 21 20 38 19 10 36 24 7 29 5 35 8 ],8
0.3,50,10,[ 30 12 7 14 35 17 11 29 31 3 21 33 27 37 1 6 16 19 8 4 25 38 39 28 5 26 15 22 20 2 13 32 18 24 36 23 34 9 10 ],7
0.3,50,10,[ 27 23 21 29 13 9 14 36 7 31 16 32 22 11 1 34 15 38 24 17 39 5 8 6 26 30 10 20 12 35 19 3 28 18 33 37 25 4 2 ],8
0.3,50,10,[ 19 5 20 17 18 4 23 38 33 14 36 39 35 1 27 7 15 2 16 34 3 28 21 11 25 31 22 37 32 9 6 29 26 12 24 30 13 8 10 ],7
0.3,50,10,[ 35 8 1 27 24 23 9 2 22 12 21 32 39 7 20 26 5 17 29 30 11 16 36 13 34 33 37 19 15 3 10 38 31 6 28 25 14 18 4 ],7
0.3,50,10,[ 15 6 33 2 17 3 39 10 25 28 18 21 12 32 29 1 37 31 7 4 23 26 27 24 34 14 11 19 5 35 13 20 9 8 36 22 30 16 38 ],8
0.3,50,10,[ 28 14 17 6 22 3 4 8 29 16 1 34 31 32 20 37 2 11 23 36 38 24 19 9 7 39 12 26 10 13 30 33 18 35 27 5 25 15 21 ],8
0.3,50,10,[ 27 16 8 37 20 12 9 26 38 4 22 28 19 17 10 39 1 2 15 35 5 13 7 33 3 23 11 25 32 36 21 31 30 29 14 34 18 24 6 ],7
0.3,50,10,[ 1 2 15 21 30 38 13 17 19 8 29 24 39 20 5 3 14 25 4 32 10 7 31 26 28 33 34 11 22 23 9 35 36 16 6 27 18 37 12 ],7
0.3,100,10,[ 26 21 5 17 29 12 10 13 3 9 32 38 23 16 30 14 7 2 15 39 11 28 34 31 24 22 27 37 36 6 20 33 25 1 19 35 8 4 18 ],9
0.3,100,10,[ 22 1 33 23 18 3 5 31 13 32 26 39 24 38 11 25 28 35 17 19 12 9 10 14 27 20 7 15 36 4 29 6 21 37 2 16 30 34 8 ],8
0.3,100,10,[ 16 2 4 7 13 5 14 17 21 36 23 22 6 24 35 20 10 28 9 15 19 27 37 26 30 29 12 1 11 32 3 38 31 18 33 34 25 8 39 ],7
0.3,100,10,[ 17 3 15 33 26 5 12 11 18 4 22 29 39 14 21 8 24 23 32 38 16 19 34 27 1 37 36 20 28 6 9 2 30 35 10 25 7 31 13 ],8
0.3,100,10,[ 24 32 2 14 16 12 10 31 23 21 38 26 4 28 9 34 17 27 1 18 30 5 15 25 6 22 3 20 35 39 37 36 13 19 7 11 33 29 8 ],9
0.3,100,10,[ 2 8 37 26 23 29 7 34 28 21 9 10 39 38 5 4 20 14 6 30 33 17 19 13 1 25 12 32 15 11 35 31 16 36 27 22 3 18 24 ],8
0.3,100,10,[ 32 6 7 28 27 9 14 36 37 3 16 21 33 30 19 15 35 13 5 2 11 17 26 34 25 22 23 4 12 18 10 24 1 29 39 20 38 8 31 ],8
0.3,100,10,[ 11 7 16 22 19 28 10 23 33 27 4 17 18 3 38 5 13 39 6 12 9 8 36 29 25 32 30 14 2 35 24 21 20 26 15 34 1 37 31 ],8
0.3,100,10,[ 37 18 3 31 19 25 12 28 32 17 38 2 30 16 8 13 4 7 33 26 10 9 5 14 22 34 27 39 15 6 20 21 24 29 1 36 11 35 23 ],8
0.3,100,10,[ 13 8 12 10 35 5 37 2 19 31 14 36 3 33 24 4 18 32 20 6 22 25 26 39 30 28 16 34 27 23 7 9 11 15 38 21 29 17 1 ],8
0.35,10,10,[ 16 7 13 8 21 37 35 6 34 15 38 22 28 4 31 2 18 9 24 33 11 39 17 26 25 20 30 19 3 5 1 36 27 12 23 29 10 32 14 ],7
0.35,10,10,[ 16 7 13 8 21 37 35 6 34 15 38 22 28 4 31 2 18 9 24 33 11 39 17 26 25 20 30 19 3 5 1 36 27 12 23 29 10 32 14 ],7
0.35,10,10,[ 18 22 4 33 34 38 9 3 37 12 15 7 31 30 17 39 35 6 32 20 19 16 14 23 1 25 11 26 36 2 28 21 13 5 24 10 29 8 27 ],6
0.35,10,10,[ 18 22 4 33 34 38 9 3 37 12 15 7 31 30 17 39 35 6 32 20 19 16 14 23 1 25 11 26 36 2 28 21 13 5 24 10 29 8 27 ],6
0.35,10,10,[ 18 22 4 33 34 38 9 3 37 12 15 7 31 30 17 39 35 6 32 20 19 16 14 23 1 25 11 26 36 2 28 21 13 5 24 10 29 8 27 ],6
0.35,10,10,[ 18 22 4 33 34 38 9 3 37 12 15 7 31 30 17 39 35 6 32 20 19 16 14 23 1 25 11 26 36 2 28 21 13 5 24 10 29 8 27 ],6
0.35,10,10,[ 32 2 30 12 36 16 8 6 26 25 3 29 4 35 38 7 9 37 19 15 1 24 23 13 11 20 18 27 5 17 34 28 14 10 22 21 31 33 39 ],9
0.35,10,10,[ 32 2 30 12 36 16 8 6 26 25 3 29 4 35 38 7 9 37 19 15 1 24 23 13 11 20 18 27 5 17 34 28 14 10 22 21 31 33 39 ],9
0.35,10,10,[ 32 2 30 12 36 16 8 6 26 25 3 29 4 35 38 7 9 37 19 15 1 24 23 13 11 20 18 27 5 17 34 28 14 10 22 21 31 33 39 ],9
0.35,10,10,[ 32 2 30 12 36 16 8 6 26 25 3 29 4 35 38 7 9 37 19 15 1 24 23 13 11 20 18 27 5 17 34 28 14 10 22 21 31 33 39 ],9
0.35,50,10,[ 14 3 16 11 22 1 12 5 24 2 38 34 29 17 25 13 30 15 31 39 20 28 37 26 32 27 35 23 10 4 8 6 9 7 19 36 18 33 21 ],8
0.35,50,10,[ 31 9 6 4 24 13 8 27 23 32 19 25 22 17 2 37 16 10 36 30 3 18 15 39 11 21 28 20 12 5 38 1 33 26 35 29 14 7 34 ],8
0.35,50,10,[ 36 5 2 25 34 4 12 35 17 19 18 21 32 16 10 37 3 1 24 15 11 9 27 23 7 30 26 13 20 22 8 33 39 28 38 29 6 14 31 ],8
0.35,50,10,[ 26 19 24 38 36 17 34 7 37 16 32 25 5 27 31 12 1 35 10 9 30 28 39 3 11 15 33 23 18 14 29 22 2 13 4 8 20 21 6 ],8
0.35,50,10,[ 24 6 5 37 25 12 16 3 34 32 9 1 14 8 17 7 31 2 22 33 29 19 20 35 21 26 39 27 13 36 4 11 18 38 23 28 10 15 30 ],8
0.35,50,10,[ 18 14 5 32 27 38 29 7 31 6 1 15 26 10 23 22 35 3 36 19 13 20 34 25 12 39 4 30 2 9 17 16 24 8 21 37 11 33 28 ],7
0.35,50,10,[ 10 25 9 11 21 36 16 8 13 34 17 4 7 20 32 15 6 39 2 1 12 23 26 38 22 24 31 5 19 33 18 30 28 3 29 35 14 37 27 ],8
0.35,50,10,[ 20 25 3 4 21 38 10 29 14 12 34 19 33 9 13 1 39 2 17 36 16 15 22 35 24 31 26 18 23 5 8 27 30 37 11 32 6 28 7 ],7
0.35,50,10,[ 27 1 7 24 30 2 11 14 15 6 19 20 28 13 31 12 5 8 26 22 23 3 37 34 35 36 38 29 21 4 16 17 33 18 9 25 10 32 39 ],9
0.35,50,10,[ 33 17 35 2 31 14 9 8 27 1 37 29 32 39 28 13 6 3 16 24 22 25 23 15 19 20 36 21 30 7 5 34 12 4 18 26 10 38 11 ],8
0.35,100,10,[ 29 3 13 4 20 8 23 18 14 9 22 28 36 6 38 7 25 2 21 19 15 34 30 27 1 35 16 31 32 10 17 11 33 24 5 26 37 39 12 ],9
0.35,100,10,[ 25 17 7 5 29 1 12 3 37 2 27 33 28 23 19 9 21 18 8 30 24 16 20 26 10 35 36 22 32 13 11 31 14 38 15 34 6 39 4 ],9
0.35,100,10,[ 33 7 12 25 37 19 15 39 22 10 6 11 29 2 14 1 23 17 30 35 13 3 18 21 31 24 28 36 8 9 34 5 32 38 26 20 4 16 27 ],8
0.35,100,10,[ 30 8 14 12 17 18 32 39 19 15 2 37 35 13 25 7 22 4 21 27 11 29 23 5 28 24 20 36 38 1 10 33 34 9 26 31 3 6 16 ],8
0.35,100,10,[ 35 14 13 15 37 22 16 7 4 2 10 3 23 12 27 9 20 8 21 29 1 25 30 28 32 31 24 34 18 6 19 36 26 11 39 33 5 17 38 ],10
0.35,100,10,[ 16 39 35 21 19 37 36 27 5 12 15 7 20 30 3 31 28 2 26 23 32 11 6 10 22 14 1 13 8 38 24 17 18 25 34 9 33 4 29 ],8
0.35,100,10,[ 29 38 1 23 33 16 26 10 27 17 3 25 32 28 34 12 7 5 19 22 36 39 35 24 13 14 21 31 2 9 4 30 8 6 20 18 37 11 15 ],9
0.35,100,10,[ 39 4 6 15 14 17 10 31 13 32 2 26 12 21 7 23 20 24 34 33 22 3 5 27 30 35 38 9 29 25 19 8 1 28 18 37 11 36 16 ],9
0.35,100,10,[ 20 8 3 6 35 34 28 12 25 14 24 22 26 7 21 10 38 17 30 9 4 37 27 29 16 13 31 23 18 1 11 5 33 2 36 32 19 15 39 ],8
0.35,100,10,[ 29 6 15 34 36 17 12 2 21 19 3 25 39 13 33 11 5 4 35 20 14 24 32 26 8 27 23 31 7 18 16 22 30 1 28 38 10 9 37 ],8
0.4,10,10,[ 20 12 10 36 27 32 8 15 34 9 39 4 35 38 37 5 24 1 30 33 2 7 25 28 17 23 29 16 31 6 11 14 18 19 3 26 13 22 21 ],8
0.4,10,10,[ 7 19 27 37 21 36 34 24 38 26 2 17 11 18 10 29 28 22 32 13 30 6 14 8 20 16 1 12 5 31 25 4 9 23 33 3 35 15 39 ],9
0.4,10,10,[ 7 19 27 37 21 36 34 24 38 26 2 17 11 18 10 29 28 22 32 13 30 6 14 8 20 16 1 12 5 31 25 4 9 23 33 3 35 15 39 ],9
0.4,10,10,[ 7 19 27 37 21 36 34 24 38 26 2 17 11 18 10 29 28 22 32 13 30 6 14 8 20 16 1 12 5 31 25 4 9 23 33 3 35 15 39 ],9
0.4,10,10,[ 7 19 27 37 21 36 34 24 38 26 2 17 11 18 10 29 28 22 32 13 30 6 14 8 20 16 1 12 5 31 25 4 9 23 33 3 35 15 39 ],9
0.4,10,10,[ 7 19 27 37 21 36 34 24 38 26 2 17 11 18 10 29 28 22 32 13 30 6 14 8 20 16 1 12 5 31 25 4 9 23 33 3 35 15 39 ],9
0.4,10,10,[ 19 15 29 34 16 31 10 28 23 33 11 1 22 18 2 32 39 38 8 13 17 3 9 36 14 20 7 24 12 6 21 25 37 35 26 4 30 5 27 ],7
0.4,10,10,[ 19 15 29 34 16 31 10 28 23 33 11 1 22 18 2 32 39 38 8 13 17 3 9 36 14 20 7 24 12 6 21 25 37 35 26 4 30 5 27 ],7
0.4,10,10,[ 19 15 29 34 16 31 10 28 23 33 11 1 22 18 2 32 39 38 8 13 17 3 9 36 14 20 7 24 12 6 21 25 37 35 26 4 30 5 27 ],7
0.4,10,10,[ 19 15 29 34 16 31 10 28 23 33 11 1 22 18 2 32 39 38 8 13 17 3 9 36 14 20 7 24 12 6 21 25 37 35 26 4 30 5 27 ],7
0.4,50,10,[ 39 36 34 5 32 7 2 21 3 13 27 23 31 28 8 17 38 16 33 26 35 30 9 19 22 18 37 29 25 10 24 4 12 20 11 14 6 1 15 ],8
0.4,50,10,[ 33 32 34 18 20 12 11 24 23 16 39 21 29 35 14 28 17 10 27 22 30 5 7 9 37 25 36 19 38 8 31 1 4 26 15 13 2 6 3 ],8
0.4,50,10,[ 24 18 16 14 30 8 6 9 39 17 35 37 32 23 31 11 36 12 28 25 20 26 34 3 13 29 22 33 27 5 10 4 2 15 7 38 1 21 19 ],8
0.4,50,10,[ 39 9 2 33 21 13 32 1 31 12 26 38 36 11 27 7 28 4 34 23 6 24 19 30 14 17 25 35 37 8 10 18 22 15 5 29 3 20 16 ],9
0.4,50,10,[ 32 13 15 14 37 6 21 3 33 35 7 20 2 9 29 11 31 34 18 16 10 38 25 23 24 30 39 27 17 19 12 4 22 5 28 26 1 8 36 ],8
0.4,50,10,[ 12 16 15 26 30 33 37 38 32 6 5 2 23 9 19 28 27 8 34 36 11 18 14 29 22 24 10 20 7 4 3 17 25 31 21 35 1 13 39 ],7
0.4,50,10,[ 11 3 13 8 33 29 15 10 36 5 21 16 35 23 22 1 12 14 27 26 32 19 25 34 24 28 31 9 30 20 17 38 7 37 2 39 4 18 6 ],8
0.4,50,10,[ 35 3 5 17 31 7 8 1 37 2 24 33 23 14 36 39 6 38 11 19 16 29 20 25 15 18 10 26 34 12 9 27 28 21 4 22 30 32 13 ],8
0.4,50,10,[ 25 10 5 20 36 13 16 26 19 1 33 39 28 11 38 23 3 7 34 30 17 12 6 21 9 29 37 15 32 8 22 14 27 24 2 35 18 31 4 ],7
0.4,50,10,[ 5 28 34 3 26 24 35 12 17 9 15 6 33 32 27 16 25 2 22 18 20 38 37 19 31 23 8 29 7 14 21 11 1 13 30 10 36 4 39 ],8
0.4,100,10,[ 32 23 14 36 27 18 16 2 38 30 10 7 19 20 21 3 12 33 17 8 11 24 29 35 25 31 15 39 13 1 5 4 28 6 22 34 26 9 37 ],8
0.4,100,10,[ 25 5 11 26 14 1 16 30 37 22 33 39 3 18 12 6 13 32 10 15 38 17 21 28 24 29 31 19 20 36 9 23 8 27 4 34 2 35 7 ],9
0.4,100,10,[ 7 5 13 23 22 38 36 32 17 29 6 11 8 14 16 31 2 21 3 10 1 12 18 26 30 24 4 15 20 39 9 33 28 25 34 27 35 19 37 ],8
0.4,100,10,[ 32 1 12 37 36 15 13 16 18 10 7 5 35 17 33 2 23 21 39 38 22 26 30 24 31 28 29 19 11 9 3 4 6 14 34 27 8 20 25 ],10
0.4,100,10,[ 25 15 12 23 18 9 17 7 29 38 2 36 22 6 26 4 16 3 20 35 24 33 30 37 8 34 32 19 39 1 11 31 14 13 28 27 10 5 21 ],8
0.4,100,10,[ 27 17 11 1 21 4 37 9 38 30 22 32 5 23 35 18 3 24 13 34 25 26 31 29 8 19 28 7 20 39 16 36 14 15 33 2 12 6 10 ],8
0.4,100,10,[ 29 31 7 24 16 1 12 27 18 11 25 21 2 35 13 22 14 38 15 19 30 3 6 20 36 33 37 4 23 39 34 26 9 32 5 17 8 28 10 ],9
0.4,100,10,[ 30 13 9 39 23 16 10 4 34 2 33 36 20 1 32 7 3 5 19 29 8 25 28 22 11 35 37 27 38 12 18 31 24 14 6 26 17 21 15 ],8
0.4,100,10,[ 34 12 1 14 19 15 16 6 21 5 36 39 22 18 25 13 4 32 10 17 9 28 27 29 38 26 35 24 37 7 2 23 31 11 20 30 3 33 8 ],9
0.4,100,10,[ 29 33 7 21 32 11 12 39 19 16 25 38 36 31 10 28 24 13 27 30 22 6 17 37 9 34 20 1 35 14 26 3 4 23 2 15 5 18 8 ],8
0.45,10,10,[ 21 38 4 30 36 1 12 29 18 6 19 31 32 25 13 17 27 9 35 26 23 14 5 37 10 28 34 24 33 7 22 15 11 39 8 16 3 20 2 ],6
0.45,10,10,[ 14 13 16 36 31 33 8 23 22 9 2 15 26 7 10 25 39 5 24 21 20 6 4 3 32 28 11 18 35 1 17 12 34 37 19 29 38 30 27 ],7
0.45,10,10,[ 14 13 16 36 31 33 8 23 22 9 2 15 26 7 10 25 39 5 24 21 20 6 4 3 32 28 11 18 35 1 17 12 34 37 19 29 38 30 27 ],7
0.45,10,10,[ 14 13 16 36 31 33 8 23 22 9 2 15 26 7 10 25 39 5 24 21 20 6 4 3 32 28 11 18 35 1 17 12 34 37 19 29 38 30 27 ],7
0.45,10,10,[ 14 13 16 36 31 33 8 23 22 9 2 15 26 7 10 25 39 5 24 21 20 6 4 3 32 28 11 18 35 1 17 12 34 37 19 29 38 30 27 ],7
0.45,10,10,[ 17 14 23 4 19 33 26 39 24 27 37 6 10 13 12 30 1 34 7 16 2 20 9 8 3 15 38 18 35 29 22 21 32 36 11 31 5 28 25 ],8
0.45,10,10,[ 17 14 23 4 19 33 26 39 24 27 37 6 10 13 12 30 1 34 7 16 2 20 9 8 3 15 38 18 35 29 22 21 32 36 11 31 5 28 25 ],8
0.45,10,10,[ 17 14 23 4 19 33 26 39 24 27 37 6 10 13 12 30 1 34 7 16 2 20 9 8 3 15 38 18 35 29 22 21 32 36 11 31 5 28 25 ],8
0.45,10,10,[ 17 14 23 4 19 33 26 39 24 27 37 6 10 13 12 30 1 34 7 16 2 20 9 8 3 15 38 18 35 29 22 21 32 36 11 31 5 28 25 ],8
0.45,10,10,[ 17 14 23 4 19 33 26 39 24 27 37 6 10 13 12 30 1 34 7 16 2 20 9 8 3 15 38 18 35 29 22 21 32 36 11 31 5 28 25 ],8
0.45,50,10,[ 35 10 15 19 24 2 14 12 38 34 31 39 20 17 29 9 18 5 21 33 26 3 23 1 22 27 28 37 32 4 13 36 7 16 6 30 11 25 8 ],9
0.45,50,10,[ 27 16 5 33 29 10 11 34 26 14 36 38 25 18 19 32 28 2 24 31 17 8 15 23 4 21 1 22 30 3 6 12 37 35 9 39 13 20 7 ],9
0.45,50,10,[ 37 3 9 21 35 20 19 2 18 15 16 7 28 6 31 5 10 8 24 27 14 39 34 23 32 29 25 38 12 17 11 36 33 13 30 22 4 1 26 ],10
0.45,50,10,[ 39 16 6 35 33 12 8 14 32 37 29 34 7 9 27 3 10 38 15 19 5 24 26 25 17 20 21 31 30 18 4 28 22 13 1 36 2 23 11 ],10
0.45,50,10,[ 27 29 32 9 39 13 7 35 19 3 14 1 28 21 20 37 34 2 33 38 12 26 4 23 11 17 6 25 15 8 24 18 30 10 36 5 22 16 31 ],8
0.45,50,10,[ 23 7 9 29 22 5 10 38 39 15 32 35 30 4 13 24 37 6 31 28 33 16 8 26 11 20 1 36 25 12 21 17 19 27 3 34 14 18 2 ],10
0.45,50,10,[ 14 10 8 36 22 6 17 39 18 19 32 38 33 4 15 2 37 20 35 31 3 21 26 24 34 28 25 12 29 1 16 9 27 5 13 30 7 23 11 ],8
0.45,50,10,[ 23 4 20 10 30 7 19 3 38 8 37 22 35 16 27 12 18 14 25 29 11 24 33 6 15 34 21 31 39 9 17 36 28 2 13 32 5 26 1 ],9
0.45,50,10,[ 32 3 15 5 18 9 20 7 21 4 6 24 25 19 26 16 22 11 23 33 17 39 27 35 13 31 28 37 12 2 8 1 29 14 30 34 10 38 36 ],8
0.45,50,10,[ 13 21 15 12 29 26 3 18 36 35 2 11 7 16 31 32 10 34 9 17 33 27 1 30 22 25 14 24 4 39 19 20 8 6 23 37 28 5 38 ],8
0.45,100,10,[ 17 18 8 28 20 39 19 22 35 37 1 10 7 6 9 31 3 26 4 38 12 13 11 29 15 30 5 23 14 32 2 36 27 24 34 33 16 21 25 ],8
0.45,100,10,[ 36 14 6 21 22 11 7 5 23 34 32 27 19 12 33 8 3 4 28 35 17 39 31 24 38 29 30 20 26 2 10 16 37 15 1 25 13 18 9 ],9
0.45,100,10,[ 34 7 5 10 12 9 39 2 26 20 32 30 38 3 37 1 29 6 33 36 15 25 21 23 17 19 28 13 27 22 11 18 35 4 16 24 14 31 8 ],9
0.45,100,10,[ 13 11 3 37 28 24 36 7 32 39 14 10 26 16 29 5 4 1 30 35 27 25 21 23 17 22 34 19 18 2 8 15 6 12 33 38 9 20 31 ],10
0.45,100,10,[ 25 6 11 16 35 39 18 5 17 20 14 21 38 8 30 2 7 15 4 33 10 27 26 24 31 29 22 37 19 12 9 36 28 3 34 23 1 13 32 ],11
0.45,100,10,[ 1 10 2 7 30 24 33 15 20 4 16 8 27 5 37 11 25 14 31 26 19 28 32 23 36 18 22 35 6 17 21 3 39 13 29 38 12 9 34 ],10
0.45,100,10,[ 32 22 36 20 24 16 5 28 39 14 29 33 34 21 7 26 4 19 8 9 17 3 11 12 13 23 10 37 35 1 31 38 30 25 6 2 27 18 15 ],9
0.45,100,10,[ 13 17 11 36 31 38 29 6 34 14 10 7 39 5 37 3 32 9 33 27 2 19 35 28 22 20 26 16 8 4 21 18 23 1 24 30 15 12 25 ],9
0.45,100,10,[ 32 4 8 19 25 13 28 2 24 7 15 1 29 22 23 9 21 17 33 34 26 35 31 36 38 18 39 20 11 6 5 3 12 14 27 37 16 10 30 ],9
0.45,100,10,[ 2 8 12 31 35 22 5 32 24 26 1 11 3 39 7 17 37 20 30 33 21 14 4 38 15 28 36 27 13 16 18 10 9 23 34 29 19 6 25 ],9
0.5,10,10,[ 17 12 7 4 27 35 19 3 29 6 1 13 32 20 26 14 16 15 2 30 22 25 33 24 21 34 37 28 10 5 18 36 8 9 31 39 11 23 38 ],8
0.5,10,10,[ 17 12 7 4 27 35 19 3 29 6 1 13 32 20 26 14 16 15 2 30 22 25 33 24 21 34 37 28 10 5 18 36 8 9 31 39 11 23 38 ],8
0.5,10,10,[ 17 12 7 4 27 35 19 3 29 6 1 13 32 20 26 14 16 15 2 30 22 25 33 24 21 34 37 28 10 5 18 36 8 9 31 39 11 23 38 ],8
0.5,10,10,[ 17 12 7 4 27 35 19 3 29 6 1 13 32 20 26 14 16 15 2 30 22 25 33 24 21 34 37 28 10 5 18 36 8 9 31 39 11 23 38 ],8
0.5,10,10,[ 17 12 7 4 27 35 19 3 29 6 1 13 32 20 26 14 16 15 2 30 22 25 33 24 21 34 37 28 10 5 18 36 8 9 31 39 11 23 38 ],8
0.5,10,10,[ 27 6 8 32 30 2 5 4 28 15 35 39 34 7 24 3 37 18 29 26 11 16 23 21 17 20 10 22 31 9 12 13 33 36 1 25 38 14 19 ],5
0.5,10,10,[ 27 6 8 32 30 2 5 4 28 15 35 39 34 7 24 3 37 18 29 26 11 16 23 21 17 20 10 22 31 9 12 13 33 36 1 25 38 14 19 ],5
0.5,10,10,[ 27 6 8 32 30 2 5 4 28 15 35 39 34 7 24 3 37 18 29 26 11 16 23 21 17 20 10 22 31 9 12 13 33 36 1 25 38 14 19 ],5
0.5,10,10,[ 27 6 8 32 30 2 5 4 28 15 35 39 34 7 24 3 37 18 29 26 11 16 23 21 17 20 10 22 31 9 12 13 33 36 1 25 38 14 19 ],5
0.5,10,10,[ 11 8 14 15 20 33 18 1 24 26 9 3 12 19 31 10 16 27 13 4 21 38 25 28 34 29 35 17 5 30 2 36 7 6 37 39 23 22 32 ],7
0.5,50,10,[ 11 8 14 15 20 33 18 1 24 26 9 3 12 19 31 10 16 27 13 4 21 38 25 28 34 29 35 17 5 30 2 36 7 6 37 39 23 22 32 ],7
0.5,50,10,[ 29 16 14 25 23 7 11 35 36 6 39 33 22 15 17 28 32 3 31 38 8 9 10 24 20 30 5 19 27 2 21 12 26 34 13 37 18 4 1 ],9
0.5,50,10,[ 23 11 14 8 24 39 15 2 22 3 28 18 37 6 30 1 34 9 38 26 21 25 31 29 7 35 33 19 32 12 17 16 36 13 5 27 10 20 4 ],7
0.5,50,10,[ 22 7 34 19 36 5 14 4 29 15 27 28 30 11 31 6 35 13 33 39 10 37 25 12 21 23 32 18 24 9 2 3 38 20 8 26 17 16 1 ],8
